Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,image
66450,66450,66450,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000002647.jpg
29253,29253,29253,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00031944.jpg
41421,41421,41421,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00025370.jpg
12241,12241,12241,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00013437.jpg
45225,45225,45225,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I693934_C1.jpg
36866,36866,36866,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/JBKV-00000361.jpg
36933,36933,36933,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/WLFP-00001029.jpg
68514,68514,68514,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000001811.jpg
20376,20376,20376,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I691307_C1.jpg
58996,58996,58996,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000015078.jpg
29540,29540,29540,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00051525.jpg
38296,38296,38296,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00050322.jpg
71416,71416,71416,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000016246.jpg
38050,38050,38050,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/FARH-00000284.jpg
16467,16467,16467,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00013382.jpg
66410,66410,66410,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000004545.jpg
15755,15755,15755,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00007375.jpg
55478,55478,55478,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000019055.jpg
44381,44381,44381,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I543571_C1.jpg
64257,64257,64257,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000020415.jpg
21127,21127,21127,/sddata/projects/Cervical_Cancer_Projects/data/SEED/SBX2296_1.jpg
45646,45646,45646,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I330215_C1.jpg
42611,42611,42611,/sddata/projects/Cervical_Cancer_Projects/data/ALTS_NHS_Low_Qual/I236988_C1.jpg
43549,43549,43549,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I272814_C1.jpg
28127,28127,28127,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00054345.jpg
1118,1118,1118,/sddata/projects/Cervical_Cancer_Projects/data/mobileODT_harvard_masked_images/QLGF-00004901.jpg
25581,25581,25581,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria_No_DC_Labels/HFLD-00001393.jpg
15482,15482,15482,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00011922.jpg
59504,59504,59504,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000014893.jpg
59837,59837,59837,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000010824.jpg
52855,52855,52855,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000018852.jpg
17714,17714,17714,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I307499_C1.jpg
16954,16954,16954,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I101372_C1.jpg
40917,40917,40917,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00046365.jpg
51704,51704,51704,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000002396.jpg
59887,59887,59887,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000019836.jpg
66729,66729,66729,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000014139.jpg
39920,39920,39920,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00033953.jpg
62944,62944,62944,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000020325.jpg
14619,14619,14619,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00001118.jpg
3833,3833,3833,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00002559.jpg
12799,12799,12799,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00011827.jpg
57674,57674,57674,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000000960.jpg
20834,20834,20834,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I156048_C1.jpg
14217,14217,14217,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00003596.jpg
24237,24237,24237,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria_No_DC_Labels/HFLD-00017430.jpg
31579,31579,31579,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00034993.jpg
59034,59034,59034,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000017252.jpg
52880,52880,52880,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000008370.jpg
19227,19227,19227,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I417161_C1.jpg
20807,20807,20807,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I518957_C2.jpg
11527,11527,11527,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00005640.jpg
35261,35261,35261,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/HZBM-00000439.jpg
21647,21647,21647,/sddata/projects/Cervical_Cancer_Projects/data/SEED/SBX1970_3.jpg
45535,45535,45535,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I127999_C1.jpg
35838,35838,35838,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00008665.jpg
50099,50099,50099,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000019414.jpg
31451,31451,31451,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/WLSH-00000158.jpg
19597,19597,19597,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I102306_C1.jpg
33861,33861,33861,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00031621.jpg
